words:
DuKo   |dog
GoRi   |set,is,like,equal(=),as,set as
GoRe   |life,live
RiRe   |rotate
NeRe   |left
NaRe   |right
ReKa   |toilet,potty
ReKiKa |problem
ReKi   |common,standerd
ReNo   |step
ReNu   |basics
ReGo   |pro
ReGu   |pros
GeNe   |party
GuNa   |found
GuNo   |each,another
GuNu   |others,anothers
GaKuBa |bake
KaBo   |use
KaBu   |uses
KaBe   |used
BeRi   |instead of
BuRaKi |tar
BuRaKa |oil
BuRaKe |gas
BuRo   |line
BuRu   |lines
RiBo   |heaven
RiBu   |heavens
BiRi   |name
BeDo   |way
BeDu   |ways
BiDa   |of(for syntax)
BiDe   |for(for syntax)
BiDi   |as(for syntax)
BaDo   |to(for syntax)
BaRu   |from(for syntax)
BeRo   |be(for syntax)
KaBaKo |split
KaBaKu |splitting
KaBaKi |splitted
BaRa   |across 
BaRi   |over
BaBi   |the(!)
GaBa   |warning
GaDa   |translation
BaGe   |undo
BaGa   |redo
BaKa   |copy,clone,duplicate
BaKi   |paste
SiBa   |code
SeKa   |random
SeKo   |cheat
SeKu   |cheats
SeKe   |cheating
SeRo   |custom
SeRu   |customize
SeRi   |customble
SeBo   |share
SeBu   |sharing
BaSe   |box
KaSi   |some,(a)few
KeSiRa |mode
KeMaRi |survival
KeMaRe |creative
KeMaRa |Spectator
KeMaRo |adventure
KeMaRu |HARDCORE adventure
BuRo   |fool,stupid,idiot
BuRu   |dummy
BaKaKo |teach
BaRaKu |teaching
BaKiKo |learn
BaKiKu |learning
BoKiKa |owner
BoKiKe |work
BoKaRi |boss
BoKaRo |idea,plan
BoKaRu |ideas,plans
BoKaRe |sound
BoKaRa |video(image)
LoKaBa |mad
LuBiRa |happy
LoBaKa |slow
LoBaKi |fast
LeRi   |light
LeRa   |need
LoRiKa |health
LoRiKo |hunger
LoRiKu |hungry
BoKaRi |lord
LaKiRa |came
BoGa   |are(for syntax)
NeGa   |withheld
NaRiGo |confuse
NaRiGu |confuses
NaRiGi |confused
NaReGo |understand
NaReGu |understands
Ne     |not
NeRa   |because
LaNeLo |sick
LaNeLu |virus
LaNaLo |cure
LaNaLu |antidote
MiRe   |data,file
KaLi   |ok,alright,fine
MiRiLo |random
MiKaRi |access
MiLeKa |memory 
MiRaNa |central,middle
MiDoKa |unit,component
KiNa   |chip,circuit(also `circuit chip`)
KiRa   |here
RuRa   |cute
RuRe   |like
KhiKa  |explain,details
ShaKu  |why
KiKi   |action
KiKiRa |sit
KiKiRi |lay
KiKiRo |obey
KiKiRu |obeys
KiKiRa |walk
KiKiRe |think
Shi    |when
Sha    |how
Sho    |toy
Shu    |toys
She    |board
PaKa   |better
BaPa   |worse
BaRaShi|unknown
KuBaRa |trouble,problem
KuRaBa |score
KaBa   |time
KiBe   |date
KaBaRo |day,morning
KaBaRu |night,evening
KaBaRi |noon
KiBa   |will
KiRe   |treat
KeBa   |friut
KeBi   |vegetable
NaBu   |would
MaKiRa |never
MoKiRi |always
MiKi   |in
MiKo   |out
NaKi   |mm.
NaKa   |cm.
NaKoRi |inch
NaKuRi |feet
NaShi  |yard
NaKe   |mile
NeKi   |ms.
NeKo   |sec.
NeKu   |min.
NeKa   |hour
NeRi   |day
NeNa   |week
NeNe   |month
NeNi   |year
PuTiKa |recording
PuTiKo |playback/play
PuTiKu |plays
PuTiKi |winding
MiNo   |forward
PhaRi  |idle
ShaKi  |cover,lid
ShiKo  |window
ShiKu  |windows
SheKo  |door
SheKu  |doors
PiNe   |location,spot
ShiNa  |VIP
PeKa   |title
DeKa   |sun
DePa   |moon
BaShiKu|Dynamic
